index;label_true;text;label_pred
t22;negative;Is it possible (or desirable?!) to set up to behave more like ? For example, instead of writing why can't I just write Similarly, instead of why not just;neutral
t45;negative;@augustss: with `ImpredicativeTypes` you can make monadic binds polymorphic as well (though it requires a heck lot of extremely ugly type annotations).;neutral
t47;negative;OK, so what do you want me to do about that? Hint: how about *telling us* what your problem is?;neutral
t143;negative;I'm curious, shouldn't the other question be marked as a duplicate of this one? This question is two years older and has a higher rated answer.;neutral
t177;neutral;Did it work? If it did you can also accept the answer by clicking the check mark beside it. It is a nice step to take =P;positive
t181;neutral;That's right, I have no plans to replace the existing system, sidecar is an excellent analogy.;positive
t223;neutral;No buddy, You can't simply upgrade ZF1 to ZF2. In case you need you move to ZF2 be sure that ZF2 is not just an upper version of ZF1 but the whole Architecture is also changed.So, If you really need to move then 1. Firstly you will need to remove ZF1 library completely.2. Install ZF2 package.3. Now make changes in your code to work accordingly with ZF2 as most of the things will stop working once to move to ZF2.However, I would suggest don't migrate to ZF2 just for the sake of upgrading, migrate only if you dont have any other choice. As this is a very painful task.have a good luck.;positive
t268;negative;Why all the down votes?;neutral
t281;positive;If you are on 11g you are in Luck :-) you can Use SELECT FOR UPDATE SKIP LOCKED in the Cursor - then you are guaranteed that two threads will never get the same row on a fetch!The RIGHT WAY to do this in Oracle would be Advanced Queueing - since this will solve ALL YOUR PROBLEMS, provides synchronization und parallel execution and other benefits...Before Oracle 11 and without Advanced Queuing (if you really want to code it yourself...) You can do it like this:(The bits marked with autonomous transaction have to be called in a separate method as an autonomous transaction. If the Update returns 0 Rows it can either be because the table is empty, or because two threads accessed the same row. - So we need a separate ending condition counting available rows.;neutral
t290;neutral;In my mental model of authentication, a user should be distinct from the way they log in. So for example, a User could have an associated EmailLogin (with an email/password), or they could have many (or none). Similarly they could have 0..* associated OpenIDLogin credentials. Are there any existing authentication libraries for Rails which use this method? Alternatively, is this a really terrible idea?;negative
t376;neutral;A simple Google search would suffice for this question. All are excellent resources (and the top three Google links!). Essentially, there's a new API which allows JS to request fullscreen access. That's about it.;positive
t408;negative;I had a memory crash on UIGraphicsGetImageFromCurrentImageContext() ... if you're creating and releasing a lot of them, you should wrap them in a fresh AutoReleasePool for each iteration. Even allowing the NSRunLoop to tick WAS NOT ENOUGH for Apple/iOS to do housekeeping on garbage lying around from this. e.g.;neutral
t426;neutral;"That was ""I totally agree... """;positive
t528;neutral;The answer was devastatingly simple in this case. For some reason windows uses localhost as opposed to 0.0.0.0. So although it says standing watch at 0.0.0.0:4567 it is actually standing watch at localhost:4567 . You should be able to navigate to this page and see your middleman build.;negative
t654;neutral;yeah: hopeless!;negative
t666;neutral;If the answer was a snake, I could have been killed by it, its already in front of me!;negative
t732;neutral;Your variables are pointing at the same object. I'd be worried if they weren't equal!;negative
t760;neutral;Or the dreaded AVL trees!;negative
t858;neutral;I think that's absolutely terrible practice. First of all you do not need to make the trip to the server to hide and show controls, unless you need new data. Second, any decent javascript framework will allow you to hide show controls based on the control's id, class name, or whatever css selector. Moreover using a javascript post/get to a generic handler will give you the data that you need without the postback. I'd suggest using JQuery, or some other alternative.;negative
t876;neutral;Isn't and the same thing here??;negative
t893;neutral;Typically you would handle that as a POST (not a GET), and read the xml from the request-stream (or there are helpers to let you do this). Otherwise URL encoding and length restrictions are going to make this extremely painful.;negative
t1024;neutral;Are you expecting to speed up the video without affecting the sound, or did the timer solution just make the sound aggressively awful?;negative
t1059;positive;This worked for me.;neutral
t1094;positive;Maybe this will be of some help -;neutral
t1126;negative;While we're at it, there is no such thing as Unicode. Well, there is, but it does not concern itself with earthly matters like files. There are numerous encodings which bridge that gap, but you don't appear to be aware of that or the difference this makes. See also: [The Absolute Minimum Every Software Developer Absolutely, Positively Must Know About Unicode and Character Sets (No Excuses!)](http://www.joelonsoftware.com/articles/Unicode.html));neutral
t1197;positive;Look into these links. They may help.;neutral
t1220;negative;"I had the problem that white was the ""Overscroll"" color, not actually the fading edge. try this (assuming you want a fading edge, but not the horrid white glare when you hit the ends! (otherwise set requires fading edge to none)):";neutral
t1253;positive;Take a look at and be extremely paranoid about user inputs.;neutral
t1269;negative;I wouldn't worry about that in pure Flash. I don't believe that is the mental model the Flash Engineers used (Flex, absolutely, worry).;neutral
t1281;negative;I have recently found out that anything Swing(NetBeans, IDEA) is excruciatingly slow to paint the UI over Remote Desktop(RDP). Can you guys give me any suggestion for something that will work properly over RDP?;neutral
t1309;neutral;@mauguerra: It doesn't directly answer your question, but yesterday's article on Raymond Chen's blog, [What's the difference between Text Document, Text Document - MS-DOS Format, and Unicode Text Document?](http://blogs.msdn.com/b/oldnewthing/archive/2012/02/20/10269537.aspx) provides some useful background information and links to more resources for learning about this. Other required reading: Joel Spolsky's [The Absolute Minimum Every Software Developer Absolutely, Positively Must Know About Unicode and Character Sets (No Excuses!)](http://www.joelonsoftware.com/articles/Unicode.html).;positive
t1342;positive;"There is a setting in your setup project that will ""uninstall"" previous versions by default, turn this flag OFF, then you will not have to worry!";neutral
t1357;negative;How come this is considered programming related?;neutral
t1373;negative;what exactly is not working? it  s hard to guess   _ you shouldn  t be using erigi to check for a substring: 1) it  s deprecated 2) use instead. edit: your code screams sql injection!;neutral
t1401;negative;"Do not touch a Physics-""Body"" inside of a TouchEvent. UI-Thread and UpdateThread hate working at the same time!";neutral
t1498;negative;In Bash, you use parameter expansion: In your case, say . No need to go overboard and cry for regexes at the slightest provocation -- Bash has plenty of power!;neutral
t1538;negative;In addition to firebug (which should be your first port of call), the will also tell you where a given style is sourced from, just in case IE - shock, horror - should be different.;neutral
